,price,size,distance,propertyType_chalet,propertyType_countryHouse,propertyType_duplex,propertyType_flat,propertyType_penthouse,propertyType_studio,rooms_0,rooms_1,rooms_2,rooms_3,rooms_4,bathrooms_1,bathrooms_2,bathrooms_3,exterior_False,exterior_True,municipality,floor,hasLift
36,700.0,40.0,1431,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,706.8571428571429,698.0888888888888,703.8479532163743
37,750.0,40.0,2417,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,706.8571428571429,679.2890450859865,703.8479532163743
38,650.0,35.0,1121,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,706.8571428571429,705.7592592592592,703.8479532163743
39,720.0,70.0,29099,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,705.0909090851166,705.7592592592592,694.7032258064517
40,699.0,52.0,7092,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,706.8571428571429,698.0888888888888,703.8479532163743
41,750.0,65.0,13081,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,651.2523855228376,678.5689655172414,703.8479532163743
42,695.0,65.0,13904,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,714.6843710251813,678.5689655172414,703.8479532163743
43,750.0,78.0,19719,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,693.9092517320393,678.5689655172414,703.8479532163743
44,620.0,60.0,7981,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,706.8571428571429,678.5689655172414,694.7032258064517
45,550.0,38.0,10938,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,651.2523855228376,678.5689655172414,694.7032258064517
