,price,propertyType_chalet,propertyType_countryHouse,propertyType_duplex,propertyType_flat,propertyType_penthouse,propertyType_studio,rooms_0,rooms_1,rooms_2,rooms_3,rooms_4,bathrooms_1,bathrooms_2,bathrooms_3,exterior_False,exterior_True,size_standard,distance_standard,municipality_standard,floor_standard,hasLift_standard
52,720.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,-0.0475888350243351,-0.29315013855000255,-1.2780056861667206,0.7671780889277882,0.604025855683706
53,600.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.3869768257316929,0.7331307997268807,-1.7385523723962688,-1.2512439464726683,0.604025855683706
54,650.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.23523449056512974,1.5779421279132364,0.35147764727483816,0.5868697173249323,0.604025855683706
55,650.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.46149315103670163,-0.30858232711958883,0.9114486618826325,0.06833862980017628,-0.25623866340318285
56,700.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.6698001513211578,-0.24523763686537087,0.32551814451090866,0.06833862980017628,-0.25623866340318285
57,625.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.2917991556830227,-0.29815954007520856,0.24171987568577724,-1.2663960811836383,-0.25623866340318285
58,595.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.6698001513211578,-0.8736751378823444,0.32551814451090866,-1.2663960811836383,-0.25623866340318285
59,650.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.10415350014222806,-0.39277259146256727,0.32551814451090866,1.252531525615225,0.604025855683706
60,725.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.3869768257316929,-0.6179532697004568,0.32551814451090866,0.5868697173249323,0.604025855683706
61,750.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,2.158433104573491,1.0606002252375253,0.24586183934677466,1.670465304592142,0.604025855683706
