,price,propertyType,size,exterior,rooms,bathrooms,municipality,distance,floor,hasLift
64,750.0,697.554347826087,95.0,1,705.2307692307693,694.5382165605096,705.0909090816765,28483,721.5731818268454,1
65,700.0,619.9090096269214,30.0,1,682.5166666666667,694.5382165605096,705.6331360946746,12049,701.7571428571429,1
66,700.0,697.554347826087,27.0,0,682.5166666666667,694.5382165605096,705.6331360946746,1391,697.9574468085107,0
67,650.0,697.554347826087,59.0,1,697.96875,694.5382165605096,705.0909090816765,30562,701.7571428571429,1
68,550.0,697.554347826087,40.0,1,682.5166666666667,694.5382165605096,621.4573863636364,17750,697.9574468085107,1
69,650.0,697.554347826087,55.0,1,682.5166666666667,694.5382165605096,705.6331360946746,10296,715.6060606060603,1
70,750.0,697.554347826087,65.0,1,697.96875,694.5382165605096,705.6331360946746,5580,670.1111111111111,1
71,725.0,697.554347826087,70.0,1,697.96875,694.5382165605096,705.6331360946746,4117,670.1111111111111,1
72,700.0,697.554347826087,80.0,1,682.5166666666667,694.5382165605096,705.0909090816765,29460,701.7571428571429,0
73,650.0,697.554347826087,40.0,1,682.5166666666667,694.5382165605096,705.6331360946746,12224,678.3448275862069,1
74,695.0,697.554347826087,90.0,1,705.2307692307693,694.5382165605096,705.6331360946746,7729,670.1111111111111,0
75,750.0,697.554347826087,55.0,1,682.5166666666667,694.5382165605096,705.6331360946746,6017,670.1111111111111,0
76,650.0,697.554347826087,65.0,1,697.96875,694.5382165605096,705.6331360946746,7559,670.1111111111111,1
77,666.0,697.554347826087,70.0,1,682.5166666666667,677.5945945945946,689.1730533221507,24862,701.7571428571429,1
78,750.0,697.554347826087,78.0,1,697.96875,677.5945945945946,705.0909090816765,29976,670.1111111111111,1
79,630.0,697.554347826087,74.0,1,705.2307692307693,694.5382165605096,661.4573863636364,36483,670.1111111111111,1
80,635.0,689.625,55.0,1,690.8571428571429,694.5382165605096,650.7115809171166,14528,696.1785714285714,1
81,725.0,697.554347826087,69.0,1,697.96875,694.5382165605096,707.4023832481668,35892,701.7571428571429,1
82,750.0,697.554347826087,35.0,0,682.5166666666667,694.5382165605096,705.6331360946746,859,701.7571428571429,0
83,690.0,697.554347826087,65.0,1,697.96875,694.5382165605096,705.6331360946746,4724,697.9574468085107,0
84,700.0,689.625,30.0,0,690.8571428571429,694.5382165605096,705.6331360946746,1041,696.1785714285714,1
85,730.0,697.554347826087,64.0,1,705.2307692307693,694.5382165605096,705.499971553305,20235,701.7571428571429,0
86,750.0,697.554347826087,51.0,1,682.5166666666667,694.5382165605096,705.6331360946746,3436,701.7571428571429,1
87,750.0,697.554347826087,48.0,0,682.5166666666667,694.5382165605096,734.6474178380435,20526,715.6060606060603,1
88,690.0,697.554347826087,35.0,1,682.5166666666667,694.5382165605096,705.6331360946746,4802,670.1111111111111,0
89,750.0,697.554347826087,74.0,1,705.2307692307693,694.5382165605096,719.8187226116132,13017,715.6060606060603,1
90,700.0,689.2857224885634,35.0,1,682.5166666666667,694.5382165605096,705.6331360946746,852,678.3448275862069,0
91,720.0,697.554347826087,42.0,1,682.5166666666667,694.5382165605096,705.6331360946746,8333,715.6060606060603,1
92,595.0,697.554347826087,55.0,1,682.5166666666667,694.5382165605096,643.9573863636364,29699,701.7571428571429,0
93,700.0,697.554347826087,45.0,0,682.5166666666667,694.5382165605096,705.6331360946746,1113,701.7571428571429,0
94,500.0,697.554347826087,45.0,1,682.5166666666667,694.5382165605096,624.9886310435428,32188,670.1111111111111,0
95,700.0,697.554347826087,75.0,1,697.96875,694.5382165605096,654.092671611573,43915,701.7571428571429,0
96,675.0,689.2857224885634,87.0,1,697.96875,677.5945945945946,633.095639357559,44503,696.1785714285714,0
97,650.0,697.554347826087,45.0,1,682.5166666666667,694.5382165605096,671.4573863636364,37741,678.3448275862069,0
98,750.0,689.625,55.0,1,690.8571428571429,694.5382165605096,705.6331360946746,918,696.1785714285714,1
99,720.0,689.625,45.0,1,690.8571428571429,694.5382165605096,735.546085805312,15433,714.4372244662253,1
100,624.0,697.554347826087,45.0,1,682.5166666666667,694.5382165605096,661.0789132060843,24077,670.1111111111111,1
101,633.0,697.554347826087,45.0,1,682.5166666666667,694.5382165605096,661.0789132060843,24077,670.1111111111111,1
102,640.0,689.625,33.0,1,690.8571428571429,694.5382165605096,705.6331360946746,11189,696.1785714285714,1
103,645.0,697.554347826087,84.0,1,697.96875,677.5945945945946,654.092671611573,43827,696.1785714285714,1
104,750.0,697.554347826087,46.0,0,682.5166666666667,694.5382165605096,705.6331360946746,1069,697.9574468085107,0
105,735.0,689.625,35.0,1,690.8571428571429,694.5382165605096,705.6331360946746,11088,701.7571428571429,1
106,600.0,697.554347826087,55.0,1,682.5166666666667,694.5382165605096,646.4573863636364,25189,670.1111111111111,-1
107,750.0,697.554347826087,75.0,1,705.2307692307693,694.5382165605096,705.6331360946746,8286,670.1111111111111,0
108,600.0,619.9090096269214,25.0,1,682.5166666666667,694.5382165605096,705.6331360946746,183,714.4372244662253,1
109,705.0,697.554347826087,48.0,1,682.5166666666667,694.5382165605096,705.6331360946746,11472,715.6060606060603,1
110,650.0,697.554347826087,62.0,1,697.96875,694.5382165605096,669.7955176066374,43229,697.9574468085107,0
111,700.0,689.2857224885634,61.0,1,697.96875,694.5382165605096,721.1753471553473,23917,701.7571428571429,0
112,650.0,689.625,40.0,0,690.8571428571429,694.5382165605096,705.6331360946746,5088,679.2586806910215,1
113,700.0,697.554347826087,40.0,1,682.5166666666667,694.5382165605096,705.6331360946746,3076,678.3448275862069,0
114,730.0,697.554347826087,51.0,1,697.96875,694.5382165605096,705.6331360946746,6767,715.6060606060603,0
115,750.0,697.554347826087,50.0,1,697.96875,694.5382165605096,705.6331360946746,8331,697.9574468085107,0
116,680.0,697.554347826087,56.0,1,697.96875,694.5382165605096,693.9090457691647,19298,697.9574468085107,0
117,710.0,697.554347826087,78.0,1,705.2307692307693,694.5382165605096,705.499971553305,21617,715.6060606060603,0
118,720.0,697.554347826087,47.0,1,697.96875,694.5382165605096,705.6331360946746,7088,701.7571428571429,0
119,750.0,689.625,43.0,1,690.8571428571429,694.5382165605096,705.6331360946746,5332,670.1111111111111,1
120,695.0,689.625,40.0,1,690.8571428571429,694.5382165605096,705.6331360946746,12376,670.1111111111111,1
121,630.0,697.554347826087,54.0,1,682.5166666666667,677.5945945945946,661.4573863636364,32432,670.1111111111111,-1
122,750.0,697.554347826087,90.0,1,705.2307692307693,694.5382165605096,721.4573863636364,26401,670.1111111111111,1
123,730.0,697.554347826087,50.0,1,682.5166666666667,694.5382165605096,705.6331360946746,8717,696.1785714285714,1
124,600.0,697.554347826087,90.0,1,705.2307692307693,694.5382165605096,661.0789132060843,25182,670.1111111111111,1
125,650.0,689.625,45.0,1,690.8571428571429,694.5382165605096,705.6331360946746,5656,678.3448275862069,1
126,750.0,697.554347826087,38.0,0,682.5166666666667,694.5382165605096,705.6331360946746,470,678.3448275862069,1
127,730.0,697.554347826087,50.0,1,682.5166666666667,694.5382165605096,717.4675412402383,16410,670.1111111111111,1
128,735.0,689.625,30.0,1,690.8571428571429,694.5382165605096,705.6331360946746,11188,696.1785714285714,1
129,610.0,697.554347826087,72.0,0,682.5166666666667,694.5382165605096,671.0867531052564,19544,678.3448275862069,1
