,price,exterior,rooms,bathrooms,floor,hasLift,propertyType_chalet,propertyType_countryHouse,propertyType_duplex,propertyType_flat,propertyType_penthouse,propertyType_studio,municipality,size_standard,distance_standard
170,620.0,1,3,1,-3.0,1,0.0,0.0,0.0,1.0,0.0,0.0,705.499971553305,1.022384397263576,0.39444462436826666
171,695.0,1,2,1,-3.0,0,0.0,0.0,0.0,1.0,0.0,0.0,705.4050746928433,0.5732482827088097,0.015965410305434143
172,650.0,1,3,1,-3.0,1,0.0,0.0,0.0,1.0,0.0,0.0,696.9979010385982,2.1452246836504916,1.0726842863012567
173,675.0,1,2,1,-3.0,1,0.0,0.0,0.0,1.0,0.0,0.0,705.0909090816765,0.6293902970281555,1.1169540017916793
174,695.0,1,2,1,-3.0,0,0.0,0.0,0.0,1.0,0.0,0.0,705.6331360946746,0.46096425407011815,-0.5692081079709136
176,675.0,0,1,1,-3.0,-1,0.0,0.0,0.0,1.0,0.0,0.0,705.6331360946746,-1.2232961755102554,-1.1421825192057065
177,730.0,0,3,1,3.0,0,0.0,0.0,0.0,1.0,0.0,0.0,705.499971553305,0.18025418247338923,0.3723481285948842
178,690.0,1,2,1,-3.0,1,0.0,0.0,0.0,1.0,0.0,0.0,705.499971553305,1.5838045404570338,0.3760308778904479
179,750.0,0,1,1,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,705.6331360946746,-0.6618760323167975,-0.8296858966883911
180,600.0,1,0,1,1.0,1,0.0,0.0,0.0,0.0,0.0,1.0,705.6331360946746,-1.3917222184682927,-0.7348551023276246
181,723.0,1,0,1,-3.0,1,0.0,0.0,0.0,0.0,0.0,1.0,717.4675412402383,-1.7847163187037132,0.06691010889406597
182,725.0,1,1,1,1.0,1,0.0,0.0,0.0,1.0,0.0,0.0,705.6331360946746,-0.3811659607200686,-0.41430246572626356
183,750.0,1,3,1,-3.0,-1,0.0,0.0,0.0,1.0,0.0,0.0,704.998508748505,0.5732482827088097,-0.3257630347454185
184,600.0,1,2,1,-3.0,-1,0.0,0.0,0.0,1.0,0.0,0.0,646.4573863636364,-0.6618760323167975,1.9257778158298668
185,750.0,1,3,1,2.0,0,0.0,0.0,0.0,1.0,0.0,0.0,734.6474178380435,0.7416743256668471,-0.09674206292754801
187,720.0,1,1,1,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,705.6331360946746,-0.15659790344268545,-0.9672519276664285
188,550.0,1,2,2,-3.0,0,0.0,0.0,0.0,0.0,1.0,0.0,551.8827731805424,1.022384397263576,2.8651857819732527
189,720.0,0,3,1,3.0,0,0.0,0.0,0.0,1.0,0.0,0.0,705.6331360946746,-0.4373079750394144,-0.5748089558579168
