,price,size,distance,exterior,rooms,bathrooms,floor,hasLift,propertyType_chalet,propertyType_countryHouse,propertyType_duplex,propertyType_flat,propertyType_penthouse,propertyType_studio,municipality
297,680.0,85.0,13303,1,2,1,0.0,1,0.0,0.0,0.0,1.0,0.0,0.0,714.6027704652122
298,600.0,28.0,4418,0,1,1,4,0,0.0,0.0,0.0,1.0,0.0,0.0,705.6331360946746
299,750.0,80.0,30995,1,2,1,1,0,0.0,0.0,0.0,1.0,0.0,0.0,734.6474178380435
300,700.0,62.0,13040,1,1,1,2,1,0.0,0.0,0.0,1.0,0.0,0.0,719.8187226116132
301,690.0,77.0,7283,1,2,1,0.0,1,0.0,0.0,0.0,1.0,0.0,0.0,705.6331360946746
302,700.0,50.0,7844,1,1,1,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,705.6331360946746
303,750.0,87.0,13773,1,2,1,5,1,0.0,0.0,0.0,1.0,0.0,0.0,714.6027704652122
304,735.0,51.0,14023,1,1,1,4,1,0.0,0.0,0.0,1.0,0.0,0.0,704.998508748505
305,700.0,80.0,17777,1,3,1,5,1,0.0,0.0,0.0,1.0,0.0,0.0,718.2393568954209
306,725.0,75.0,16247,1,3,1,-3.0,0,0.0,0.0,0.0,1.0,0.0,0.0,705.4050746928433
307,733.0,68.4,28541,1,2,1,2,1,0.0,0.0,0.0,1.0,0.0,0.0,705.0909090816765
308,750.0,36.0,4237,1,1,1,0.0,1,0.0,0.0,0.0,1.0,0.0,0.0,705.6331360946746
309,675.0,69.0,5656,1,2,1,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,705.6331360946746
310,650.0,85.0,43066,1,2,1,2,0,0.0,0.0,0.0,1.0,0.0,0.0,669.7955176066374
311,730.0,52.0,5879,1,1,1,0.0,1,0.0,0.0,0.0,1.0,0.0,0.0,705.6331360946746
312,700.0,97.0,24605,1,1,1,0.0,1,0.0,0.0,0.0,1.0,0.0,0.0,696.4573863636364
313,690.0,38.0,5798,0,0,1,2,1,0.0,0.0,0.0,0.0,0.0,1.0,705.6331360946746
314,700.0,70.0,43166,1,2,1,1,0,0.0,0.0,0.0,1.0,0.0,0.0,669.7955176066374
315,600.0,89.0,44474,1,2,2,2,0,0.0,0.0,1.0,0.0,0.0,0.0,633.095639357559
316,700.0,25.0,691,0,0,1,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,705.6331360946746
317,690.0,60.0,29005,1,2,1,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,691.4573863636364
318,750.0,114.0,28099,1,3,3,1,0,0.0,0.0,1.0,0.0,0.0,0.0,721.4573863636364
319,700.0,51.0,8471,1,0,1,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,705.6331360946746
320,670.0,61.0,35136,1,1,1,0.0,1,0.0,0.0,0.0,1.0,0.0,0.0,707.4023832481668
321,750.0,80.0,25085,1,2,1,4,1,0.0,0.0,0.0,1.0,0.0,0.0,661.0789132060843
322,740.0,33.0,8322,1,0,1,0.0,1,0.0,0.0,0.0,0.0,0.0,1.0,705.6331360946746
323,750.0,110.0,27976,1,4,2,1,0,0.0,0.0,0.0,1.0,0.0,0.0,726.1905331876595
324,750.0,62.0,5703,1,2,1,3,0,0.0,0.0,0.0,1.0,0.0,0.0,705.6331360946746
325,750.0,70.0,16273,1,0,1,0.0,1,0.0,0.0,0.0,0.0,0.0,1.0,735.546085805312
326,650.0,28.0,5399,1,0,1,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,705.6331360946746
327,625.0,51.0,25010,1,1,1,2,1,0.0,0.0,0.0,1.0,0.0,0.0,641.3188116420554
328,700.0,35.0,2266,1,1,1,0.0,1,0.0,0.0,0.0,1.0,0.0,0.0,705.6331360946746
329,750.0,95.0,30759,1,2,2,1,0,0.0,0.0,0.0,1.0,0.0,0.0,734.6474178380435
330,600.0,25.0,3812,0,0,1,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,705.6331360946746
331,750.0,89.0,12878,1,2,2,2,1,0.0,0.0,0.0,1.0,0.0,0.0,704.998508748505
332,700.0,55.0,32004,1,1,1,1,1,0.0,0.0,0.0,1.0,0.0,0.0,624.9886310435428
